Suburb,Price,Date
Flemington,957000.0,22/05/2016
Kensington,785000.0,3/09/2016
Kensington,852000.0,3/09/2016
Kensington,1037000.0,3/09/2016
Kensington,775000.0,3/12/2016
Kensington,1470000.0,4/03/2017
Kensington,630000.0,4/03/2017
Kensington,492500.0,4/06/2016
Kensington,420000.0,4/06/2016
Kensington,650000.0,4/06/2016
Kensington,1050000.0,4/06/2016
Kensington,1291000.0,6/08/2016
Kensington,420000.0,6/08/2016
Kensington,961000.0,7/05/2016
Kensington,1271000.0,7/05/2016
Kensington,1010000.0,7/05/2016
Kensington,750000.0,7/05/2016
Kensington,1675000.0,7/05/2016
Kensington,905000.0,8/10/2016
Kensington,960000.0,8/10/2016
Kensington,1031000.0,8/10/2016
Kensington,918000.0,8/10/2016
Kensington,870000.0,8/10/2016
Kensington,1165000.0,10/09/2016
Kensington,1710000.0,10/09/2016
Kensington,360000.0,10/12/2016
Kensington,1455000.0,10/12/2016
Kensington,365000.0,10/12/2016
Kensington,551000.0,10/12/2016
Kensington,442000.0,10/12/2016
Kensington,765000.0,10/12/2016
Kensington,515000.0,11/02/2017
Kensington,370000.0,12/06/2016
Kensington,1005000.0,12/11/2016
Kensington,1234500.0,13/08/2016
Kensington,666000.0,13/08/2016
Kensington,825000.0,14/05/2016
Kensington,770000.0,14/05/2016
Kensington,1135000.0,15/10/2016
Kensington,975000.0,15/10/2016
Kensington,812000.0,16/04/2016
Kensington,1900000.0,16/04/2016
Kensington,732000.0,18/06/2016
Kensington,1260000.0,19/11/2016
Kensington,1000000.0,19/11/2016
Kensington,700000.0,19/11/2016
Kensington,813500.0,22/05/2016
Kensington,526000.0,22/08/2016
Kensington,790000.0,22/08/2016
Kensington,700000.0,22/08/2016
Kensington,370000.0,22/08/2016
Kensington,1230000.0,22/08/2016
Kensington,460000.0,23/04/2016
Kensington,395000.0,23/04/2016
Kensington,1001000.0,24/09/2016
Kensington,850000.0,24/09/2016
Kensington,1335000.0,25/02/2017
Kensington,868000.0,25/02/2017
Kensington,960000.0,26/07/2016
Kensington,773000.0,26/07/2016
Kensington,631090.0,27/06/2016
Kensington,410000.0,27/06/2016
Kensington,425000.0,27/11/2016
Kensington,1211000.0,27/11/2016
Kensington,506000.0,27/11/2016
Kensington,806000.0,28/05/2016
Kensington,829000.0,28/05/2016
Kensington,786000.0,28/08/2016
Kensington,458000.0,30/07/2016
Melbourne,427000.0,3/12/2016
Melbourne,1160500.0,4/03/2017
Melbourne,780000.0,4/06/2016
Melbourne,535000.0,7/05/2016
Melbourne,450000.0,7/11/2016
Melbourne,360000.0,7/11/2016
Melbourne,665000.0,7/11/2016
Melbourne,386000.0,10/09/2016
Melbourne,659000.0,10/09/2016
Melbourne,671000.0,10/12/2016
Melbourne,545000.0,12/11/2016
Melbourne,450000.0,12/11/2016
Melbourne,432000.0,13/08/2016
Melbourne,400000.0,13/08/2016
Melbourne,210000.0,13/08/2016
Melbourne,750000.0,15/10/2016
Melbourne,375000.0,15/10/2016
Melbourne,680000.0,17/09/2016
Melbourne,470000.0,18/03/2017
Melbourne,650000.0,18/03/2017
Melbourne,483000.0,18/03/2017
Melbourne,610000.0,18/06/2016
Melbourne,700000.0,19/11/2016
Melbourne,520000.0,19/11/2016
Melbourne,440000.0,22/08/2016
Melbourne,436000.0,23/04/2016
Melbourne,733000.0,24/09/2016
Melbourne,675000.0,24/09/2016
Melbourne,1630000.0,25/02/2017
Melbourne,760000.0,28/05/2016
Melbourne,360000.0,28/08/2016
Melbourne,390000.0,30/07/2016
North Melbourne,2920000.0,3/09/2016
North Melbourne,1635000.0,3/09/2016
North Melbourne,491000.0,3/09/2016
North Melbourne,540000.0,3/12/2016
North Melbourne,340000.0,3/12/2016
North Melbourne,726000.0,4/03/2017
North Melbourne,1340000.0,4/03/2017
North Melbourne,1105000.0,4/03/2017
North Melbourne,841000.0,4/03/2017
North Melbourne,528500.0,4/06/2016
North Melbourne,585000.0,4/06/2016
North Melbourne,645000.0,7/05/2016
North Melbourne,410000.0,7/11/2016
