Rooms,Type,Price,Date,Distance,Postcode,Bathroom,Car,Landsize,BuildingArea,YearBuilt
3,t,732000,26/07/2016,5.6,3101,1,1,904,110,1980
3,h,1001000,4/3/2017,12.6,3020,1,5,879,,
2,u,605000,7/5/2016,7.4,3185,1,1,722,,1970
3,h,757500,17/06/2017,18.8,3170,2,1,145,,
4,h,721000,16/09/2017,17.9,3082,2,2,603,,
2,u,560000,28/08/2016,13.1,3128,1,1,153,,1970
3,u,1631000,1/7/2017,3.5,3207,2,2,0,,
2,t,1014000,30/07/2016,10.7,3187,1,1,267,131,1990
3,t,1762000,17/09/2016,11.2,3186,2,2,483,,
3,h,1307000,13/08/2016,13.9,3165,2,4,684,,
3,h,1870000,25/02/2017,8.1,3161,2,1,339,,
3,h,855000,16/07/2016,6.9,3039,1,1,274,,
1,u,320000,18/06/2016,5.9,3055,1,1,0,43,1970
5,h,1150000,23/09/2017,17.2,3132,2,2,588,,1970
2,u,525000,14/05/2016,10.3,3084,1,1,79,70,1970
4,t,973500,27/11/2016,13.9,3108,2,2,234,160,2009
1,u,365000,10/12/2016,6.5,3071,1,1,0,40,1970
3,t,1385000,25/02/2017,9.7,3103,2,2,190,,
2,u,816000,24/06/2017,3.5,3207,1,1,0,,2000
3,h,649000,9/9/2017,14,3047,1,1,656,,
5,h,1335000,10/12/2016,7.8,3058,3,2,390,,
3,u,665000,16/04/2016,10.5,3034,2,1,289,,
6,h,1455000,29/04/2017,7.8,3058,3,4,768,285,1997
4,h,1350000,4/3/2017,11.5,3046,2,2,590,237,
2,u,485000,8/7/2017,13.4,3130,1,1,0,55,1960
3,h,480000,1/7/2017,27.2,3024,1,2,743,110,1990
3,h,775000,25/02/2017,7.7,3015,1,1,435,,
1,u,295000,19/11/2016,6.5,3071,1,1,0,,
4,h,1670000,4/3/2017,8,3040,2,1,291,183,1920
2,u,540000,15/07/2017,7.3,3146,1,1,0,77,1960
1,u,401500,15/07/2017,2.7,3141,1,1,10,,1960
2,u,762000,3/6/2017,7.5,3040,1,1,195,,
2,u,800000,22/07/2017,7.9,3103,1,1,0,,1960
3,u,850000,3/6/2017,10.4,3042,2,1,307,,
4,h,1352000,24/06/2017,12.4,3107,2,3,725,,
2,t,585000,15/10/2016,9.2,3146,1,1,84,84,1960
4,h,3295888,15/10/2016,11.2,3186,3,2,565,337,1990
2,u,720000,3/6/2017,14.2,3149,1,1,198,,
3,u,1880000,3/12/2016,3.3,3141,2,2,0,,1968
3,h,692500,23/04/2016,11.2,3073,2,2,803,,
3,u,891000,15/10/2016,8,3040,2,1,0,,
3,u,780000,25/02/2017,11.4,3084,1,2,239,,
2,u,2250000,29/04/2017,3.8,3207,2,2,0,,
1,u,492000,4/3/2017,4.6,3122,1,1,0,63,1995
1,u,470000,26/07/2016,2.5,3067,1,1,0,50,2013
4,t,1742000,28/05/2016,9,3126,2,2,780,,
4,h,1635000,8/7/2017,15.5,3106,3,2,896,215,1985
1,u,441000,27/05/2017,6.2,3123,1,0,0,50,1960
3,t,802000,15/07/2017,22.2,3172,2,2,251,185,1998
3,u,577000,23/04/2016,13.8,3018,2,1,205,113,2007
4,h,1715000,3/12/2016,6.9,3039,2,3,668,,
2,h,1117000,28/08/2016,1.8,3053,1,0,128,92,1890
2,u,465000,25/02/2017,11.2,3073,1,1,111,,
3,h,1316000,17/06/2017,13.8,3165,1,1,636,,1958
2,u,610000,3/9/2017,16.1,3088,1,1,180,,
3,t,620500,7/5/2016,11.2,3073,2,1,158,117,2011
3,t,900500,27/11/2016,12.2,3147,2,2,256,134,2012
1,u,345000,16/04/2016,7,3013,1,1,0,47,1970
3,t,1250000,10/9/2016,11.8,3204,2,2,326,188,2000
2,u,655000,8/4/2017,4.6,3142,1,1,1816,105,1960
3,h,915000,11/3/2017,12.8,3033,1,2,610,,
4,h,887500,29/07/2017,16.1,3088,2,2,737,,
4,h,930000,8/7/2017,24.7,3175,2,1,830,200,1980
2,u,905000,15/10/2016,10.7,3187,1,2,189,93,1980
3,u,542000,1/7/2017,15.3,3074,2,2,213,,
2,u,430000,7/11/2016,4.6,3122,1,1,1997,,
3,h,720000,4/3/2017,10.5,3081,1,0,505,,
3,u,488000,13/05/2017,12.4,3083,1,1,260,150,1961
2,t,915500,27/11/2016,13.7,3188,2,1,0,148,
1,u,380000,29/07/2017,6.3,3143,1,1,0,,1960
2,u,405000,7/5/2016,11.2,3073,1,1,171,94,2009
2,u,546500,3/12/2016,10.6,3084,1,1,132,69,1972
2,u,587500,16/07/2016,4.6,3122,1,1,1099,72,1965
2,t,610000,1/7/2017,11.2,3046,1,1,182,112,2015
1,u,342000,10/9/2016,2.6,3121,1,1,0,1,1970
2,u,830000,4/6/2016,9,3126,1,1,110,83,1960
3,h,1975000,17/06/2017,7.3,3102,2,4,677,,
3,h,867000,29/07/2017,15.3,3074,1,3,819,,
3,h,1837000,6/8/2016,11.2,3145,2,1,769,196,1920
2,h,883000,27/05/2017,17.2,3132,1,1,697,,1960
3,h,825000,8/10/2016,7.8,3058,1,1,374,118,1910
3,h,855000,6/8/2016,7.7,3015,1,1,326,112,1991
2,t,930000,3/9/2016,3.5,3068,3,0,2778,3558,
3,h,1124000,27/06/2016,14,3166,1,1,685,,
2,h,399000,7/5/2016,8.7,3032,1,1,904,53,1985
3,h,1588000,19/08/2017,10.4,3125,2,2,708,,
3,t,800000,12/11/2016,5.6,3101,2,2,848,97,1970
4,t,1200000,29/07/2017,16,3190,2,2,304,183,2007
2,u,487500,8/10/2016,6.1,3182,1,2,1676,,
2,u,430000,28/08/2016,11.2,3073,1,1,152,,
7,h,1205000,15/10/2016,5.9,3055,3,1,447,287,1982
1,u,330000,22/05/2016,5.9,3055,1,1,0,42,1970
4,h,5020000,20/05/2017,7.8,3124,4,3,892,,
3,t,1962000,14/05/2016,11.2,3186,2,2,323,,1995
2,u,476000,6/8/2016,11.5,3046,1,1,189,85,1995
3,h,785000,7/11/2016,7.9,3079,2,0,399,110,1950
3,u,900000,6/8/2016,11.8,3204,1,1,265,91,1990
2,h,2210000,3/6/2017,2.7,3141,2,1,187,133,1890
